# Block-id-related strings

  @ 113ca1a0  ""CMIC_SEMAPHORE_15""
  @ 113ca1b4  ""CMIC_SEMAPHORE_15_SHADOW""
  @ 113ca1d0  ""CMIC_SEMAPHORE_16""
  @ 113ca1e4  ""CMIC_SEMAPHORE_16_SHADOW""
  @ 113ca200  ""CMIC_SEMAPHORE_17""
  @ 113ca214  ""CMIC_SEMAPHORE_17_SHADOW""
  @ 113ca230  ""CMIC_SEMAPHORE_18""
  @ 113ca244  ""CMIC_SEMAPHORE_18_SHADOW""
  @ 113ca260  ""CMIC_SEMAPHORE_19""
  @ 113ca274  ""CMIC_SEMAPHORE_19_SHADOW""
  @ 113ca290  ""CMIC_SEMAPHORE_20""
  @ 113ca2a4  ""CMIC_SEMAPHORE_20_SHADOW""
  @ 113ca2c0  ""CMIC_SEMAPHORE_21""
  @ 113ca2d4  ""CMIC_SEMAPHORE_21_SHADOW""
  @ 113ca2f0  ""CMIC_SEMAPHORE_22""
  @ 113ca304  ""CMIC_SEMAPHORE_22_SHADOW""
  @ 113ca320  ""CMIC_SEMAPHORE_23""
  @ 113ca334  ""CMIC_SEMAPHORE_23_SHADOW""
  @ 113ca350  ""CMIC_SEMAPHORE_24""
  @ 113ca364  ""CMIC_SEMAPHORE_24_SHADOW""
  @ 113ca380  ""CMIC_SEMAPHORE_25""
  @ 113ca394  ""CMIC_SEMAPHORE_25_SHADOW""
  @ 113ca3b0  ""CMIC_SEMAPHORE_26""
  @ 113ca3c4  ""CMIC_SEMAPHORE_26_SHADOW""
  @ 113ca3e0  ""CMIC_SEMAPHORE_27""
  @ 113ca3f4  ""CMIC_SEMAPHORE_27_SHADOW""
  @ 113ca410  ""CMIC_SEMAPHORE_28""
  @ 113ca424  ""CMIC_SEMAPHORE_28_SHADOW""
  @ 113ca440  ""CMIC_SEMAPHORE_29""
  @ 113ca454  ""CMIC_SEMAPHORE_29_SHADOW""
  @ 113ca470  ""CMIC_SEMAPHORE_30""
  @ 113ca484  ""CMIC_SEMAPHORE_30_SHADOW""
  @ 113ca4a0  ""CMIC_SEMAPHORE_31""
  @ 113ca4b4  ""CMIC_SEMAPHORE_31_SHADOW""
  @ 113ca4d0  ""CMIC_SEMAPHORE_32""
  @ 113ca4e4  ""CMIC_SEMAPHORE_32_SHADOW""
  @ 113ca500  ""CMIC_TS_FREQ_CTRL_LOWER""
  @ 113ca518  ""CMIC_TS_FREQ_CTRL_UPPER""
  @ 113ca530  ""CMIC_TS_TIME_CAPTURE_CTRL""
  @ 113ca54c  ""CMIC_TS_INPUT_TIME_FIFO_TS""
  @ 113ca568  ""CMIC_TS_INPUT_TIME_FIFO_ID""
  @ 113ca584  ""CMIC_TS_CAPTURE_STATUS""
  @ 113ca59c  ""CMIC_TS_CAPTURE_STATUS_CLR""
  @ 113ca5b8  ""CMIC_TS_FIFO_STATUS""
  @ 113ca5cc  ""CMIC_TS_GPIO_1_CTRL""
  @ 113ca5e0  ""CMIC_TS_GPIO_1_UP_EVENT_CTRL""
  @ 113ca600  ""CMIC_TS_GPIO_1_DOWN_EVENT_CTRL""
  @ 113ca620  ""CMIC_TS_GPIO_2_CTRL""
  @ 113ca634  ""CMIC_TS_GPIO_2_UP_EVENT_CTRL""
  @ 113ca654  ""CMIC_TS_GPIO_2_DOWN_EVENT_CTRL""
  @ 113ca674  ""CMIC_TS_GPIO_3_CTRL""
  @ 113ca688  ""CMIC_TS_GPIO_3_UP_EVENT_CTRL""
  @ 113ca6a8  ""CMIC_TS_GPIO_3_DOWN_EVENT_CTRL""
  @ 113ca6c8  ""CMIC_TS_GPIO_4_CTRL""
